,Oranges,Grapefruit ,Lemons,mandarins ,citrus fruit,Apples,Apricots,Avocados,Bananas,Blackberries,Blueberries,Boysenberries,Raspberries,cherries,cherries,Cranberries,Dates,Figs,Grapes,Kiwifruit,Nectarines,Olives,Papayas,Peaches,Pears,Plums,Strawberries,noncitrus fruit,Almonds,Hazelnuts,Macadamia,Pecans,Pistachios,Walnuts,tree nuts,fruit nuts
 Alabama ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
 Arizona ,0,0,"42,680",0,"42,680",0,0,0,0,0,0,0,0,0,0,0,"86,279",0,0,0,0,0,0,0,0,0,0,"86,279",0,0,0,"68,229",0,0,"68,229","197,188"
 Arkansas ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 California ,"699,458","56,552","688,163","679,638","2,123,811","72,911","40,444","373,185",0,0,"204,460",0,"386,303","190,983",0,0,"137,499",0,"5,411,688","85,999","129,300","130,218",0,"293,021","61,317","252,076","2,221,320","9,990,724","6,094,440",0,0,0,"1,938,800","1,286,410","9,319,650","21,434,185"
 Colorado ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,647",0,0,0,"30,647",0,0,0,0,0,0,0,"30,647"
 Connecticut ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Florida ,"1,041,263","80,936",0,"21,339","1,143,538",0,0,"23,565",0,0,"62,309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"307,200","393,074",0,0,0,0,0,0,0,"1,536,612"
 Georgia ,0,0,0,0,0,0,0,0,0,0,"133,058",0,0,0,0,0,0,0,0,0,0,0,0,"37,776",0,0,0,"170,834",0,0,0,"137,240",0,0,"137,240","308,074"
 Hawaii 4,0,0,0,0,0,0,0,"1,787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,943",0,0,0,0,"6,730",0,0,"48,840",0,0,0,"48,840","105,730"
 Idaho ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Illinois ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
