pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note,cultivar
POM00006406,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Duarte, Los Angeles County, California, United States",1 art original : col. ; 17 x 25 cm. ,19473,,,,Navelencia,,citrus
POM00006407,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,40440,1908.0,,1908,Navelencia,,citrus
POM00006463,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Honcut, Butte County, California, United States",1 art original : col. ; 17 x 25 cm. ,70748,1914.0,,1914-03-13,New,,citrus
POM00006465,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Honcut, Butte County, California, United States",1 art original : col. ; 17 x 25 cm. ,70748a,1914.0,Peter Bisset,1914-03-16,New,,citrus
POM00006446,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,,1 art original : col. ; 17 x 26 cm. ,37438,1906.0,,1906-11-19,No. 779,Watercolor includes mock up for the Yearbook of Agriculture (1906),citrus
POM00006467,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,6429,1894.0,,1894,Nonpareil,,citrus
POM00006468,"Heiges, Bertha",Citrus sinensis,oranges,"San Antonio, Bexar County, Texas, United States",1 art original : col. ; 16 x 25 cm. ,33365,1905.0,,1905-01-31,Otaheita,,citrus
POM00006576,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 16 x 24 cm. ,1230,1920.0,,1920,Otahiti,,citrus
POM00006314,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Silverhill, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,98090,1919.0,E.D. Vosbury,1919-12-13,Owari,,citrus
POM00006575,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Silverhill, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,[00245],1919.0,"Removed from curing room 10/12-13, Scaled fruit cured, 6 days, clean fruit cured 5 days.",1919-10-28,Owari,Assigned specimen number,citrus
POM00006315,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Fairhope, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,94478,1917.0,,1917-12-03,Owari Satsuma,,citrus
POM00006316,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,6430,1894.0,,1894,Parson Brown,,citrus
POM00006317,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,100550,1921.0,Cured Parson Brown and Uncured Parson Brown,1921-12-01,Parson Brown,,citrus
