artist_full_name,cultivar_name,fruit_common_name,fruit_origin_country,fruit_origin_polity,fruit_scientific_name,fruit_variety,image_created_year,image_url,is_originpolity_largest_producer,is_usda_recognized_plant_family,pomological_Id
Passmore Deborah Griscom,citrus,oranges,United States, California,citrus sinensis,Navelencia,,/POM00006406.jpg,False,True,POM00006406
Passmore Deborah Griscom,citrus,oranges,United States, California,citrus sinensis,Navelencia,1908.0,/POM00006407.jpg,False,True,POM00006407
Newton Amanda Almira,citrus,oranges,United States, California,citrus sinensis,New,1914.0,/POM00006463.jpg,False,True,POM00006463
Newton Amanda Almira,citrus,oranges,United States, California,citrus sinensis,New,1914.0,/POM00006465.jpg,False,True,POM00006465
Schutt Ellen Isham,citrus,oranges,,,citrus sinensis,No. 779,1906.0,/POM00006446.jpg,False,True,POM00006446
Passmore Deborah Griscom,citrus,oranges,United States, Florida,citrus sinensis,Nonpareil,1894.0,/POM00006467.jpg,False,True,POM00006467
Heiges Bertha,citrus,oranges,United States, Texas,citrus sinensis,Otaheita,1905.0,/POM00006468.jpg,False,True,POM00006468
Shull James Marion,citrus,oranges,,,citrus sinensis,Otahiti,1920.0,/POM00006576.jpg,False,True,POM00006576
Steadman Royal Charles,citrus,oranges,United States, Alabama,citrus sinensis,Owari,1919.0,/POM00006314.jpg,False,True,POM00006314
Newton Amanda Almira,citrus,oranges,United States, Alabama,citrus sinensis,Owari,1919.0,/POM00006575.jpg,False,True,POM00006575
Steadman Royal Charles,citrus,oranges,United States, Alabama,citrus sinensis,Owari Satsuma,1917.0,/POM00006315.jpg,False,True,POM00006315
Passmore Deborah Griscom,citrus,oranges,United States, Florida,citrus sinensis,Parson Brown,1894.0,/POM00006316.jpg,False,True,POM00006316
Steadman Royal Charles,citrus,oranges,United States, Florida,citrus sinensis,Parson Brown,1921.0,/POM00006317.jpg,False,True,POM00006317
Schutt Ellen Isham,citrus,oranges,United States, Florida,citrus sinensis,Pineapple,1911.0,/POM00006318.jpg,False,True,POM00006318
Arnold Mary Daisy,citrus,oranges,United States, Florida,citrus sinensis,Pineapple,1936.0,/POM00006319.jpg,False,True,POM00006319
Arnold Mary Daisy,citrus,oranges,United States, Florida,citrus sinensis,Pineapple,1936.0,/POM00006320.jpg,False,True,POM00006320
Passmore Deborah Griscom,citrus,oranges,United States, Florida,citrus sinensis,Pineapple,1894.0,/POM00006322.jpg,False,True,POM00006322
Newton Amanda Almira,citrus,oranges,United States, Florida,citrus sinensis,Pineapple,1913.0,/POM00006324.jpg,False,True,POM00006324
Lower Elsie E.,citrus,oranges,United States, Florida,citrus sinensis,Pineapple,1911.0,/POM00006749.jpg,False,True,POM00006749
Krieger L.C.C. (Louis Charles Christopher),citrus,oranges,,,citrus sinensis,Pineapple Orange,1936.0,/POM00000298.jpg,False,True,POM00000298
Strange M.,,persimmons,United States, Florida,diospyros,Ormiston,1914.0,/POM00001084.jpg,False,True,POM00001084
Newton Amanda Almira,,persimmons,United States, Florida,diospyros,Ormond,1912.0,/POM00001085.jpg,False,True,POM00001085
