pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note
POM00006406,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Duarte, Los Angeles County, California, United States",1 art original : col. ; 17 x 25 cm. ,19473,,,,Navelencia,
POM00006407,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,40440,1908,,1908,Navelencia,
POM00006463,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Honcut, Butte County, California, United States",1 art original : col. ; 17 x 25 cm. ,70748,1914,,1914-03-13,New,
POM00006465,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Honcut, Butte County, California, United States",1 art original : col. ; 17 x 25 cm. ,70748a,1914,Peter Bisset,1914-03-16,New,
POM00006446,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,,1 art original : col. ; 17 x 26 cm. ,37438,1906,,1906-11-19,No. 779,Watercolor includes mock up for the Yearbook of Agriculture (1906)
POM00006467,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,6429,1894,,1894,Nonpareil,
POM00006468,"Heiges, Bertha",Citrus sinensis,oranges,"San Antonio, Bexar County, Texas, United States",1 art original : col. ; 16 x 25 cm. ,33365,1905,,1905-01-31,Otaheita,
POM00006576,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 16 x 24 cm. ,1230,1920,,1920,Otahiti,
POM00006314,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Silverhill, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,98090,1919,E.D. Vosbury,1919-12-13,Owari,
POM00006575,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Silverhill, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,[00245],1919,"Removed from curing room 10/12-13, Scaled fruit cured, 6 days, clean fruit cured 5 days.",1919-10-28,Owari,Assigned specimen number
POM00006315,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Fairhope, Baldwin County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,94478,1917,,1917-12-03,Owari Satsuma,
POM00006316,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,6430,1894,,1894,Parson Brown,
POM00006317,"Steadman, Royal Charles, b. 1875",Citrus sinensis,oranges,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,100550,1921,Cured Parson Brown and Uncured Parson Brown,1921-12-01,Parson Brown,
POM00006318,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,"Wildwood, Sumter County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,50431,1911,,1911-04-03,Pineapple,
POM00006319,"Arnold, Mary Daisy, ca. 1873-1955",Citrus sinensis,oranges,"Merritt Island, Brevard County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,113274,1936,Negative Number 21,1936,Pineapple,
POM00006320,"Arnold, Mary Daisy, ca. 1873-1955",Citrus sinensis,oranges,"Merritt Island, Brevard County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,113275,1936,Negative Number 13-2; Bruen Grove,1936,Pineapple,
POM00006322,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,6432,1894,,1894,Pineapple,
POM00006324,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Manatee, Manatee County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,62249,1913,,1913-02-12,Pineapple,
POM00006749,"Lower, Elsie E., b. 1882",Citrus sinensis,oranges,"Wildwood, Sumter County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,50529,1911,"P. glancum. Slow development,  C.S. Pomeroy",1911-04-15,Pineapple,
POM00000298,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Citrus sinensis,oranges,,1 art original : col. ; 22 x 27 cm. ,113276,1936,Chau Isleworth Grove,1936,Pineapple Orange,
POM00001084,"Strange, M.",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,73180,1914,,1914-09-16,Ormiston,
POM00001085,"Newton, Amanda Almira, ca. 1860-1943",Diospyros,persimmons,"Ormond Beach, Volusia County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,55043,1912,11/05/1912 copy,1912-01-19,Ormond,
POM00001086,"Passmore, Deborah Griscom, 1840-1911",Diospyros,persimmons,"Cartersburg, Hendricks County, Indiana, United States",1 art original : col. ; 17 x 25 cm. ,35163,1905,"Yearbook U.S. Dept. of Agriculture, 1907",1905,Ruby,
POM00001087,"Heiges, Bertha",Diospyros,persimmons,"Saxe, Charlotte County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,23330,1901,,1901-11-08,Saxe,
POM00001088,"Steadman, Royal Charles, b. 1875",Diospyros,persimmons,"Chico, Butte County, California, United States",1 art original : col. ; 17 x 26 cm. ,107214,1925,S.P.I. No. 13864,1925-12-03,Shakumi,
POM00001089,"Heiges, Bertha",Diospyros,persimmons,"Fayetteville, Cumberland County, North Carolina, United States",1 art original : col. ; 17 x 24 cm. ,23429,1901,,1901-11-26,Shimo Maru,
